"Date as of","District","SubCounty","CumCases","CumDeaths"
2022-10-27,"Mubende","Kibalinga",1,1
2022-10-27,"Mubende","Kitenga",1,0
2022-10-27,"Wakiso","Busiro",1,0
2022-10-27,"Wakiso","Nanssana",1,0
2022-10-27,"Total",NA,120,32
2022-10-29,"Bunyangabu","Rwimi TC",1,0
2022-10-29,"Kagadi","Kagadi TC",1,1
2022-10-29,"Kampala","Kawempe",2,0
2022-10-29,"Kampala","Makindye",1,0
2022-10-29,"Kampala","Rubaga",14,1
2022-10-29,"Kassanda","Gomba",1,1
2022-10-29,"Kassanda","Kalwana",24,1
2022-10-29,"Kassanda","Kassanda",5,0
2022-10-29,"Kassanda","Kiganda",3,0
2022-10-29,"Kassanda","Kikandwa",5,2
2022-10-29,"Kyegegwa","Kasule",4,1
2022-10-29,"Mubende","Bagezza",2,2
2022-10-29,"Mubende","Butologo",1,1
2022-10-29,"Mubende","Eastern Division",9,1
2022-10-29,"Mubende","Southern Division",7,3
2022-10-29,"Mubende","Western Division",3,1
2022-10-29,"Mubende","Kasambya",5,1
2022-10-29,"Mubende","Kiruuma",10,4
2022-10-29,"Mubende","Kirwanyi",2,0
2022-10-29,"Mubende","Kiyuni",3,3
2022-10-29,"Mubende","Madudu",21,10
2022-10-29,"Mubende","Kibalinga",1,1
2022-10-29,"Mubende","Kitenga",1,0
2022-10-29,"Wakiso","Busiro",1,0
2022-10-29,"Wakiso","Nanssana",1,0
2022-10-29,"Total",NA,128,34
2022-10-31,"Bunyangabu","Rwimi TC",1,0
2022-10-31,"Kagadi","Kagadi TC",1,1
2022-10-31,"Kampala","Kawempe",2,0
2022-10-31,"Kampala","Makindye",1,0
2022-10-31,"Kampala","Rubaga",14,2
2022-10-31,"Kassanda","Gomba",1,1
2022-10-31,"Kassanda","Kalwana",25,7
2022-10-31,"Kassanda","Kassanda",5,0
2022-10-31,"Kassanda","Kiganda",3,0
2022-10-31,"Kassanda","Kikandwa",6,3
2022-10-31,"Kyegegwa","Kasule",4,1
2022-10-31,"Mubende","Bagezza",2,2
2022-10-31,"Mubende","Butologo",1,1
2022-10-31,"Mubende","Eastern Division",9,1
2022-10-31,"Mubende","Southern Division",7,3
2022-10-31,"Mubende","Western Division",3,1
2022-10-31,"Mubende","Kasambya",5,2
2022-10-31,"Mubende","Kiruuma",10,4
2022-10-31,"Mubende","Kirwanyi",2,0
2022-10-31,"Mubende","Kiyuni",3,3
2022-10-31,"Mubende","Madudu",21,10
2022-10-31,"Mubende","Kibalinga",1,1
2022-10-31,"Mubende","Kitenga",1,0
2022-10-31,"Wakiso","Busiro",1,0
2022-10-31,"Wakiso","Nanssana",1,0
2022-10-31,"Total",NA,130,43
2022-11-02,"Bunyangabu","Rwimi TC",1,0
2022-11-02,"Kagadi","Kagadi TC",1,1
2022-11-02,"Kampala","Kawempe",2,0
2022-11-02,"Kampala","Makindye",1,0
2022-11-02,"Kampala","Rubaga",15,3
2022-11-02,"Kassanda","Gomba",1,1
2022-11-02,"Kassanda","Kalwana",25,10
2022-11-02,"Kassanda","Kassanda",5,0
2022-11-02,"Kassanda","Kiganda",3,0
2022-11-02,"Kassanda","Kikandwa",6,4
2022-11-02,"Kyegegwa","Kasule",4,1
2022-11-02,"Mubende","Bagezza",2,2
2022-11-02,"Mubende","Butologo",1,1
2022-11-02,"Mubende","Eastern Division",9,1
2022-11-02,"Mubende","Southern Division",7,3
2022-11-02,"Mubende","Western Division",3,1
2022-11-02,"Mubende","Kasambya",5,2
2022-11-02,"Mubende","Kiruuma",10,4
2022-11-02,"Mubende","Kirwanyi",2,0
2022-11-02,"Mubende","Kiyuni",3,3
2022-11-02,"Mubende","Madudu",21,10
2022-11-02,"Mubende","Kibalinga",1,1
2022-11-02,"Mubende","Kitenga",1,0
2022-11-02,"Wakiso","Busiro",1,0
2022-11-02,"Wakiso","Nanssana",1,0
2022-11-02,"Total",NA,131,48
2022-11-03,"Bunyangabu","Rwimi TC",1,0
2022-11-03,"Kagadi","Kagadi TC",1,1
2022-11-03,"Kampala","Kawempe",2,0
2022-11-03,"Kampala","Makindye",1,0
2022-11-03,"Kampala","Rubaga",15,3
2022-11-03,"Kassanda","Gomba",1,1
2022-11-03,"Kassanda","Kalwana",25,11
2022-11-03,"Kassanda","Kassanda",5,0
2022-11-03,"Kassanda","Kiganda",3,0
2022-11-03,"Kassanda","Kikandwa",6,4
2022-11-03,"Kyegegwa","Kasule",4,1
2022-11-03,"Mubende","Bagezza",2,2
2022-11-03,"Mubende","Butologo",1,1
2022-11-03,"Mubende","Eastern Division",9,1
2022-11-03,"Mubende","Southern Division",7,3
2022-11-03,"Mubende","Western Division",3,1
2022-11-03,"Mubende","Kasambya",5,2
2022-11-03,"Mubende","Kiruuma",10,4
2022-11-03,"Mubende","Kirwanyi",2,0
2022-11-03,"Mubende","Kiyuni",3,3
2022-11-03,"Mubende","Madudu",21,10
2022-11-03,"Mubende","Kibalinga",1,1
2022-11-03,"Mubende","Kitenga",1,0
2022-11-03,"Wakiso","Busiro",1,0
2022-11-03,"Wakiso","Nanssana",1,0
2022-11-03,"Total",NA,131,49
